id,points,inhabitants,_100k_inhabitants
0110,6,124547,1.24547
0120,3,90529,0.90529
0130,2,78770,0.7877
0210,1,40981,0.40981
0240,1,53262,0.53262
0250,3,87944,0.87944
0310,1,17674,0.17674
0330,2,37751,0.37751
0340,2,95353,0.95353
0360,4,108982,1.08982
0420,2,41112,0.41112
0430,3,109983,1.09983
0440,1,54276,0.54276
0450,3,118483,1.18483
0510,1,113812,1.13812
0520,1,91941,0.91941
0610,2,76247,0.76247
0620,2,80672,0.80672
0630,2,83753,0.83753
0640,2,69372,0.69372
0720,2,52923,0.52923
0730,2,47401,0.47401
0740,3,67378,0.67378
0760,4,85149,0.85149
0810,2,162548,1.62548
0910,2,66246,0.66246
0920,1,75507,0.75507
0930,2,59802,0.59802
0950,4,56161,0.56161
1010,3,119584,1.19584
1040,3,50036,0.50036
1110,2,65576,0.65576
1130,1,79321,0.79321
1150,2,36822,0.36822
1210,2,57082,0.57082
1220,1,59919,0.59919
1240,2,57310,0.5731
1250,1,48950,0.4895
